country,handle,contribution,contest_count,organization,problem_count,avg_difficulty,avg_difficulty20,median,dp,hashing,Other,combinatorics,ternary search,probabilities,bitmasks,binary search,graph matchings,geometry,dfs and similar,games,brute force,shortest paths,divide and conquer,strings,math,graphs,string suffix structures,data structures,implementation,trees,sortings,two pointers,matrices,dsu,constructive algorithms,greedy,number theory,difficulty_bucket0,difficulty_bucket1,difficulty_bucket2,difficulty_bucket3,difficulty_bucket4,difficulty_bucket5,difficulty_bucket6,difficulty_bucket7,difficulty_bucket8,difficulty_bucket9,difficulty_bucket10,difficulty_bucket11,difficulty_bucket12
India,harshvasoya008,0,51,DA-IICT,152,1142.1052631578948,1596.6666666666667,1100,11,0,0,1,0,0,2,8,0,3,5,7,34,0,0,23,34,6,0,4,91,4,14,2,0,3,15,33,6,45,39,35,18,7,7,1,0,0,0,0,0,0
India,brightcoder,0,12,DA-IICT,87,1460.9195402298851,1970.5882352941176,1500,16,2,0,6,0,0,2,10,0,2,5,2,14,1,0,2,24,6,1,7,46,2,10,6,2,1,5,16,14,5,14,19,11,22,9,4,2,0,1,0,0,0
India,pH7,0,43,DA-IICT,232,1481.0344827586207,2165.217391304348,1400,27,4,3,10,0,2,7,17,1,8,11,3,40,3,3,15,51,6,1,28,102,9,27,9,3,2,24,40,10,19,39,45,36,34,26,11,12,7,2,1,0,0
India,Kavi.Prajapati,0,17,DA-IICT,176,1246.590909090909,1691.4285714285713,1300,14,1,2,0,0,0,2,10,0,5,12,2,32,3,0,13,34,12,0,6,98,6,19,6,0,2,21,45,4,33,33,48,33,22,4,1,2,0,0,0,0,0
India,Code.coding,0,28,DA-IICT,340,1371.4705882352941,1933.8235294117646,1300,46,2,3,10,2,3,7,15,1,3,19,4,60,3,2,18,83,14,0,22,175,7,46,8,2,7,42,82,13,37,63,77,59,51,28,14,7,3,0,1,0,0
India,jakshilchavda,0,3,DA-IICT,9,1111.111111111111,1400.0,1100,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,1,6,0,2,0,0,0,0,0,0,2,3,2,2,0,0,0,0,0,0,0,0,0
India,Onkar_p,0,39,DA-IICT,249,1122.0883534136547,1540.8163265306123,1100,22,1,3,1,0,0,3,10,2,9,8,3,50,3,0,25,55,8,0,12,148,3,20,4,0,0,29,53,11,76,63,62,29,14,5,0,0,0,0,0,0,0
India,HulkBuster9,0,54,DA-IICT,216,1169.9074074074074,1681.3953488372092,1100,17,0,2,4,0,1,4,11,0,7,6,8,45,1,0,16,55,6,0,11,125,2,19,4,1,3,25,36,7,55,63,44,25,18,9,0,0,1,1,0,0,0
India,deepraiya17,0,44,DA-IICT,207,1210.144927536232,1648.780487804878,1200,15,0,5,4,0,0,3,8,0,5,6,3,35,0,0,14,55,7,0,8,119,5,19,5,0,3,31,35,9,39,51,56,36,14,9,1,1,0,0,0,0,0
India,vinitkp,0,48,DA-IICT,176,1320.4545454545455,1754.2857142857142,1300,14,1,1,1,0,0,2,10,0,0,12,1,41,1,0,9,32,10,0,8,110,5,26,9,1,4,17,48,7,18,34,49,33,28,9,4,1,0,0,0,0,0
India,modi18,0,12,DA-IICT,90,1200.0,1655.5555555555557,1200,17,0,2,1,0,1,2,7,1,2,2,2,13,1,0,7,24,1,0,5,50,0,6,5,0,1,8,17,5,21,23,17,17,7,4,1,0,0,0,0,0,0
India,nisharg_patel,0,7,DA-IICT,148,1170.945945945946,1565.5172413793102,1200,15,1,1,1,0,0,2,9,1,3,3,1,25,2,0,16,35,3,0,10,88,1,18,6,0,0,14,36,7,33,36,41,27,7,4,0,0,0,0,0,0,0
India,nikhiljn585,0,16,DA-IICT,40,1200.0,1512.5,1200,3,1,0,0,0,0,1,1,0,0,3,0,12,1,0,6,5,2,0,4,28,0,6,1,0,1,1,11,0,5,13,12,8,2,0,0,0,0,0,0,0,0
India,Radhey_41,0,5,DA-IICT,23,1147.8260869565217,1450.0,1100,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,6,0,0,0,12,0,2,0,0,0,0,6,0,3,9,7,4,0,0,0,0,0,0,0,0,0
India,dhaval_lila,0,51,DA-IICT,211,1225.1184834123223,1700.0,1200,15,0,1,1,0,1,3,18,0,6,5,4,37,2,1,21,59,7,0,7,124,4,24,5,0,2,30,48,11,43,51,52,29,22,10,4,0,0,0,0,0,0
India,yatinpatel,1,25,DA-IICT,178,1206.1797752808989,1674.2857142857142,1200,14,0,1,5,0,0,0,4,1,4,5,1,36,2,0,15,55,6,0,5,95,1,18,3,0,1,22,45,13,32,54,48,24,11,6,0,1,1,1,0,0,0
India,qazwsx4,0,10,DA-IICT,50,1244.0,1680.0,1200,1,0,0,3,0,0,1,1,0,3,1,1,8,1,0,0,11,1,0,2,32,0,7,1,0,0,13,7,1,10,5,18,7,8,1,1,0,0,0,0,0,0
India,jack04,1,59,DA-IICT,207,1206.280193236715,1687.8048780487804,1200,17,0,3,4,0,1,3,29,0,5,6,4,50,0,1,16,50,4,0,15,114,4,25,12,0,2,22,41,11,48,48,49,29,23,7,2,0,1,0,0,0,0
India,Jay_13,0,39,DA-IICT,188,1250.531914893617,1727.027027027027,1200,15,2,1,3,0,1,0,13,1,3,24,0,23,5,0,15,47,26,0,15,83,8,23,8,1,10,18,55,5,39,35,43,34,27,8,2,0,0,0,0,0,0
India,vaibhavpatel,0,2,DA-IICT,74,1145.945945945946,1592.857142857143,1100,11,0,1,4,0,0,0,3,0,1,0,0,17,0,0,4,15,0,0,3,47,0,7,4,0,1,7,11,4,18,23,18,7,6,2,0,0,0,0,0,0,0
India,JavaKurious,0,19,DA-IICT,320,1205.9375,1667.1875,1200,21,3,3,12,1,0,2,12,1,8,9,3,40,2,1,26,77,7,0,17,199,3,35,9,1,1,34,61,12,70,83,67,56,30,9,4,0,0,1,0,0,0
India,nightcoder_98,0,36,DA-IICT,169,1174.5562130177516,1657.5757575757575,1100,14,0,0,8,0,2,3,8,1,5,9,5,33,1,2,16,59,8,0,6,90,3,15,5,1,2,22,30,12,45,40,45,15,14,9,1,0,0,0,0,0,0
India,Rats004,0,12,DA-IICT,116,1262.9310344827586,1786.9565217391305,1200,17,1,2,1,0,0,3,11,2,4,10,2,22,4,1,10,24,11,0,13,68,2,16,9,0,2,22,21,0,23,26,22,21,16,5,1,0,0,2,0,0,0
India,Siddhraj,0,13,DA-IICT,103,1178.6407766990292,1660.0,1200,12,0,1,1,0,1,2,3,2,1,6,1,25,2,0,16,23,6,0,1,56,2,10,2,0,1,7,27,4,30,20,26,13,6,8,0,0,0,0,0,0,0
India,Rishab_arora,0,38,DA-IICT,500,1240.6,1693.0,1200,55,5,6,15,0,2,8,34,2,10,25,6,87,4,0,40,123,23,0,27,278,9,62,24,4,6,59,110,33,96,117,106,85,71,20,5,0,0,0,0,0,0
India,yashpal3355,0,1,DA-IICT,104,931.7307692307693,1215.0,900,2,0,0,0,0,1,0,1,1,2,0,1,19,1,0,13,22,0,0,0,79,0,10,1,0,0,7,20,3,59,32,11,1,0,1,0,0,0,0,0,0,0
India,abhi.195,0,15,DA-IICT,36,1138.888888888889,1500.0,1100,2,0,0,0,0,0,0,2,0,2,0,0,9,0,0,3,11,0,0,2,22,1,4,2,0,0,7,9,3,9,10,11,3,2,1,0,0,0,0,0,0,0
India,niks.guitarist,0,12,DA-IICT,87,1266.6666666666667,1723.5294117647059,1200,6,1,1,1,0,1,2,5,0,4,0,1,14,0,0,2,16,1,0,7,54,2,13,2,0,2,10,19,2,11,21,24,14,11,4,2,0,0,0,0,0,0
India,Brij_Desai,0,42,DA-IICT,240,1210.8333333333333,1714.5833333333333,1200,19,1,2,7,1,1,2,14,1,8,6,3,48,1,2,25,58,6,0,11,142,4,37,7,0,1,31,46,13,52,61,62,28,17,15,3,1,1,0,0,0,0
India,Adit_Shah,-1,29,DA-IICT,117,1238.4615384615386,1669.5652173913043,1200,7,0,1,1,0,0,3,7,0,2,2,2,26,0,0,7,32,1,0,11,70,4,16,2,0,2,13,20,5,20,27,30,24,9,6,1,0,0,0,0,0,0
India,milap_shah,0,12,DA-IICT,52,1111.5384615384614,1530.0,1100,3,0,0,1,0,0,1,2,0,3,0,2,9,0,0,6,15,0,0,2,39,0,6,1,0,0,11,9,2,15,14,15,5,2,0,0,1,0,0,0,0,0
India,himank,0,83,DA-IICT,319,1572.7272727272727,2157.1428571428573,1600,72,4,7,16,3,5,10,35,1,8,30,2,70,6,3,18,81,23,5,29,152,18,40,13,3,12,36,93,18,18,38,49,46,56,50,33,19,9,1,0,0,0
India,shpalasara,0,12,DA-IICT,68,1214.7058823529412,1661.5384615384614,1200,4,0,1,1,0,0,1,2,0,4,2,1,9,1,0,4,14,1,0,3,39,1,6,2,0,1,7,11,0,13,15,18,11,9,1,1,0,0,0,0,0,0
India,kunawat,0,12,DA-IICT,27,1229.6296296296296,1780.0,1100,4,0,0,0,0,0,2,0,0,0,0,0,9,0,1,4,7,0,0,3,15,1,2,0,0,1,3,8,0,5,9,6,4,1,1,0,0,1,0,0,0,0
India,jaygoswami.2303,0,8,DA-IICT,39,1187.179487179487,1600.0,1200,3,0,0,0,0,0,0,1,0,1,0,0,11,0,0,4,10,0,0,1,24,0,7,1,0,0,6,9,1,6,13,10,6,3,1,0,0,0,0,0,0,0
